case_id,activity_name,timestamp,claim_amount,car_make,car_model,car_year,type_of_accident
000112d5-9d04-450f-820f-3edfc0626cf9,Assign Claim,5/1/2022 18:11,9266.19,Hyundai,Elantra,2021,Head-on
000112d5-9d04-450f-820f-3edfc0626cf9,Close Claim,5/20/2022 15:04,9266.19,Hyundai,Elantra,2021,Head-on
000112d5-9d04-450f-820f-3edfc0626cf9,Decide Claim,5/8/2022 9:26,9266.19,Hyundai,Elantra,2021,Head-on
000112d5-9d04-450f-820f-3edfc0626cf9,First Notification of Loss (FNOL),4/19/2022 1:47,9266.19,Hyundai,Elantra,2021,Head-on
000112d5-9d04-450f-820f-3edfc0626cf9,Payment Sent,5/15/2022 16:12,9266.19,Hyundai,Elantra,2021,Head-on
000112d5-9d04-450f-820f-3edfc0626cf9,Set Reserve,5/3/2022 7:01,9266.19,Hyundai,Elantra,2021,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,Assign Claim,2/28/2023 10:14,4636.3,Nissan,Altima,2012,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,Close Claim,3/18/2023 3:23,4636.3,Nissan,Altima,2012,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,Decide Claim,3/6/2023 6:19,4636.3,Nissan,Altima,2012,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,First Notification of Loss (FNOL),2/15/2023 11:04,4636.3,Nissan,Altima,2012,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,Payment Sent,3/12/2023 7:47,4636.3,Nissan,Altima,2012,Head-on
0001c62c-696c-4251-a604-8d319fc73fac,Set Reserve,3/5/2023 8:58,4636.3,Nissan,Altima,2012,Head-on
00048c02-65b5-423b-bf38-139a099a5624,Assign Claim,10/30/2022 4:02,4897.7,Hyundai,Elantra,2011,Rear-end
00048c02-65b5-423b-bf38-139a099a5624,Close Claim,11/20/2022 19:31,4897.7,Hyundai,Elantra,2011,Rear-end
00048c02-65b5-423b-bf38-139a099a5624,Decide Claim,11/5/2022 11:13,4897.7,Hyundai,Elantra,2011,Rear-end
